"Feature","n","mean","median","sd","IQR","q1","q3","min","max","Group"
"M11",31,0.507439032258065,0.33056,0.411740345301541,0.888175,0.07817,0.966345,0.04033,1,"BCR::ABL1_BM"
"M12",31,0.296122903225806,0.2039,0.288966585648394,0.53566,0.029805,0.565465,0,0.87342,"BCR::ABL1_BM"
"M13",31,0.168628064516129,0.02221,0.24448059169621,0.240295,5e-06,0.2403,0,0.71758,"BCR::ABL1_BM"
"M14",31,0.0278009677419355,0.0058,0.0431052748013387,0.03978,0.000995,0.040775,0,0.20482,"BCR::ABL1_BM"
"M21",31,0.432378709677419,0.3278,0.360312646838288,0.767895,0.034425,0.80232,0.00164,0.90638,"BCR::ABL1_BM"
"M22",31,0.34180935483871,0.21238,0.290587507656879,0.520895,0.09816,0.619055,0.05105,0.92215,"BCR::ABL1_BM"
"M23",31,0.187446774193548,0.06529,0.256395552085537,0.245555,0.008875,0.25443,0,0.77096,"BCR::ABL1_BM"
"M24",31,0.0383751612903226,0.01494,0.0470519504994899,0.06698,0.00303,0.07001,0,0.19717,"BCR::ABL1_BM"
"M31",31,0.419691612903226,0.32755,0.344166970186437,0.706415,0.06953,0.775945,0.00045,0.82812,"BCR::ABL1_BM"
"M32",31,0.322606774193548,0.21916,0.26334427330508,0.4968,0.09878,0.59558,0.04755,0.80982,"BCR::ABL1_BM"
"M33",31,0.209675161290323,0.07813,0.261659495399026,0.206875,0.044975,0.25185,0.02138,0.85125,"BCR::ABL1_BM"
"M34",31,0.0480241935483871,0.0393,0.0424255828303469,0.05115,0.014425,0.065575,0,0.20348,"BCR::ABL1_BM"
"M41",31,0.426523870967742,0.32151,0.333910885174247,0.683535,0.078395,0.76193,0.03046,0.82639,"BCR::ABL1_BM"
"M42",31,0.316506129032258,0.19907,0.253813658138898,0.4604,0.09919,0.55959,0.05827,0.82015,"BCR::ABL1_BM"
"M43",31,0.193900967741935,0.07947,0.232125441652494,0.18686,0.0465,0.23336,0.01733,0.73421,"BCR::ABL1_BM"
"M44",31,0.063068064516129,0.05279,0.035468407954061,0.027275,0.042585,0.06986,0.0258,0.20265,"BCR::ABL1_BM"
