"Feature","n","mean","median","sd","IQR","q1","q3","min","max","Group"
"M11",59,0.614836440677966,0.78705,0.373946413691821,0.757835,0.20461,0.962445,0.04033,1,"BCR::ABL1"
"M12",59,0.246997457627119,0.14433,0.264113959283209,0.402885,0.029475,0.43236,0,0.87342,"BCR::ABL1"
"M13",59,0.109133050847458,0.00161,0.21261074362394,0.11204,0,0.11204,0,0.78073,"BCR::ABL1"
"M14",59,0.0290161016949153,0.00252,0.0645080644789244,0.031965,0.00062,0.032585,0,0.42495,"BCR::ABL1"
"M21",59,0.544240338983051,0.74786,0.332808082098719,0.60168,0.216805,0.818485,0.00164,0.91334,"BCR::ABL1"
"M22",59,0.291676610169492,0.1567,0.261714967945916,0.34625,0.09035,0.4366,0.04592,0.92215,"BCR::ABL1"
"M23",59,0.122457118644068,0.03188,0.220516953848583,0.081465,0.00208,0.083545,0,0.77096,"BCR::ABL1"
"M24",59,0.0416364406779661,0.01401,0.0642187774334255,0.06749,0.00252,0.07001,0,0.39213,"BCR::ABL1"
"M31",59,0.51896220338983,0.66138,0.311106355326232,0.583575,0.204115,0.78769,0.00045,0.82812,"BCR::ABL1"
"M32",59,0.271235762711864,0.14971,0.23699378377708,0.299075,0.09601,0.395085,0.03038,0.80982,"BCR::ABL1"
"M33",59,0.152438983050847,0.05302,0.230352736184994,0.072105,0.04212,0.114225,0.02138,0.95791,"BCR::ABL1"
"M34",59,0.0573591525423729,0.04634,0.0569130746534644,0.03335,0.03313,0.06648,0,0.38763,"BCR::ABL1"
"M41",59,0.52720593220339,0.69281,0.306490363341327,0.601705,0.19225,0.793955,0.03046,0.83443,"BCR::ABL1"
"M42",59,0.268531525423729,0.16223,0.230918391651261,0.30031,0.094075,0.394385,0.00961,0.82015,"BCR::ABL1"
"M43",59,0.137292542372881,0.05205,0.20139453308672,0.07071,0.03645,0.10716,0.01517,0.76964,"BCR::ABL1"
"M44",59,0.0669635593220339,0.05312,0.0558508342098879,0.031565,0.04192,0.073485,0.01958,0.41951,"BCR::ABL1"
