"Feature","n","mean","median","sd","IQR","q1","q3","min","max","Group"
"M11",28,0.733740714285714,0.84831,0.290028694645874,0.408795,0.544865,0.95366,0.04353,0.99739,"BCR::ABL1_PB"
"M12",28,0.192608571428571,0.097395,0.226336949385519,0.1918,0.0283825,0.2201825,0,0.69184,"BCR::ABL1_PB"
"M13",28,0.0432635714285714,0.00047,0.148754685085616,0.008885,0,0.008885,0,0.78073,"BCR::ABL1_PB"
"M14",28,0.0303614285714286,0.00127,0.0828913725446023,0.0230525,0.000345,0.0233975,0,0.42495,"BCR::ABL1_PB"
"M21",28,0.668087142857143,0.77543,0.251810188418845,0.31502,0.5243425,0.8393625,0.0242,0.91334,"BCR::ABL1_PB"
"M22",28,0.2361725,0.144095,0.217331390595015,0.16512,0.0880775,0.2531975,0.04592,0.76321,"BCR::ABL1_PB"
"M23",28,0.0505042857142857,0.00938,0.145596167593757,0.035945,0.000965,0.03691,0,0.76826,"BCR::ABL1_PB"
"M24",28,0.0452471428571429,0.012155,0.0798340044906672,0.064205,0.001875,0.06608,0,0.39213,"BCR::ABL1_PB"
"M31",28,0.628868928571429,0.742045,0.229040559635338,0.27595,0.513985,0.789935,0.00156,0.82711,"BCR::ABL1_PB"
"M32",28,0.214360714285714,0.13891,0.192905937564449,0.1715325,0.0868375,0.25837,0.03038,0.63848,"BCR::ABL1_PB"
"M33",28,0.0890703571428571,0.046865,0.173168273107342,0.0191325,0.041245,0.0603775,0.0247,0.95791,"BCR::ABL1_PB"
"M34",28,0.0676942857142857,0.05313,0.0689007823655291,0.0318,0.03921,0.07101,0.00468,0.38763,"BCR::ABL1_PB"
"M41",28,0.638675357142857,0.741965,0.2310409767966,0.26391,0.5378825,0.8017925,0.04164,0.83443,"BCR::ABL1_PB"
"M42",28,0.215416785714286,0.131575,0.193387833392126,0.1330525,0.092905,0.2259575,0.00961,0.67319,"BCR::ABL1_PB"
"M43",28,0.0746189285714286,0.044015,0.139665728035544,0.019615,0.0339675,0.0535825,0.01517,0.76964,"BCR::ABL1_PB"
"M44",28,0.0712764285714286,0.05348,0.072568952100707,0.0430025,0.0409375,0.08394,0.01958,0.41951,"BCR::ABL1_PB"
