"Group","Feature","n","mean","median","sd","IQR","q1","q3","min","max"
"RM","M11",38,0.0521486842105263,0.050635,0.0122514403281328,0.0222825,0.040655,0.0629375,0.02971,0.07521
"RM","M12",38,0.357491052631579,0.324175,0.163570846040906,0.243855,0.2365575,0.4804125,0.08935,0.70785
"RM","M13",38,0.548546315789474,0.59522,0.162158056769465,0.2425025,0.4319825,0.674485,0.19535,0.77613
"RM","M14",38,0.0418068421052632,0.0424,0.0207296622709172,0.01848,0.0327975,0.0512775,3e-05,0.0894
"RM","M21",38,0.0184947368421053,0.016815,0.0155660814102142,0.019215,0.0058025,0.0250175,0,0.0545
"RM","M22",38,0.378493157894737,0.334125,0.182501447030254,0.271835,0.248775,0.52061,0.09313,0.80167
"RM","M23",38,0.585575789473684,0.627425,0.178734121784007,0.275005,0.456215,0.73122,0.18019,0.82704
"RM","M24",38,0.0174286842105263,0.009,0.0241868141619145,0.0201525,0.0024625,0.022615,0,0.09539
"RM","M31",38,0.0160542105263158,0.011495,0.0156326523542922,0.024495,0.0022975,0.0267925,0,0.04976
"RM","M32",38,0.368675,0.338305,0.181192994580737,0.273285,0.23553,0.508815,0.03707,0.76624
"RM","M33",38,0.604693157894737,0.638955,0.19438069988313,0.299065,0.4554,0.754465,0.21524,0.93998
"RM","M34",38,0.0105507894736842,0.00461,0.0143585195317508,0.013315,0.00088,0.014195,0,0.06363
"RM","M41",38,0.0484342105263158,0.047055,0.0136405178691377,0.014865,0.04216,0.057025,0.02308,0.07714
"RM","M42",38,0.35436552631579,0.326515,0.158688147766641,0.2323825,0.2371575,0.46954,0.09209,0.70432
"RM","M43",38,0.547587894736842,0.574785,0.160831788174291,0.2364375,0.4323725,0.66881,0.19124,0.77991
"RM","M44",38,0.0496115789473684,0.04659,0.015733832289707,0.01992,0.037375,0.057295,0.02604,0.0918
"RL","M11",59,0.270442372881356,0.07455,0.337855343062163,0.393505,0.046485,0.43999,0.02971,0.99217
"RL","M12",59,0.347641525423729,0.28148,0.253615075477981,0.35864,0.167915,0.526555,0.00106,0.8415
"RL","M13",59,0.320913728813559,0.27618,0.293460044180948,0.620795,0.00366,0.624455,0,0.84716
"RL","M14",59,0.0609861016949153,0.03504,0.0996785022652906,0.04403,0.01172,0.05575,0,0.59391
"RL","M21",59,0.225821694915254,0.02512,0.31269739364149,0.412515,0.00888,0.421395,0.00197,0.89076
"RL","M22",59,0.382857966101695,0.27708,0.276200646031478,0.38321,0.16633,0.54954,0.0397,0.9787
"RL","M23",59,0.342281016949153,0.295,0.314351879815877,0.636335,0.02503,0.661365,0.00046,0.89131
"RL","M24",59,0.0490247457627119,0.01037,0.0969258212697399,0.04473,0.00303,0.04776,0,0.53132
"RL","M31",59,0.220581694915254,0.04976,0.294211115270654,0.42781,0.00737,0.43518,0.00036,0.81363
"RL","M32",59,0.357992033898305,0.26707,0.246931718726115,0.39329,0.15571,0.549,0.03177,0.84823
"RL","M33",59,0.367019322033898,0.27663,0.314718606781844,0.61197,0.05697,0.66894,0.02829,0.96622
"RL","M34",59,0.0543991525423729,0.02823,0.0941358135756275,0.047845,0.004695,0.05254,0,0.5235
"RL","M41",59,0.239914915254237,0.07358,0.284226705783598,0.38735,0.047625,0.434975,0.02308,0.8226
"RL","M42",59,0.351343220338983,0.26547,0.231511879284402,0.33417,0.166565,0.500735,0.00111,0.80463
"RL","M43",59,0.330728644067797,0.27454,0.278405441437964,0.55304,0.04761,0.60065,0.00183,0.80823
"RL","M44",59,0.078011186440678,0.05115,0.0918916266510072,0.03152,0.04109,0.07261,0.02503,0.58584
"BCR::ABL1","M11",59,0.614836440677966,0.78705,0.373946413691821,0.757835,0.20461,0.962445,0.04033,1
"BCR::ABL1","M12",59,0.246997457627119,0.14433,0.264113959283209,0.402885,0.029475,0.43236,0,0.87342
"BCR::ABL1","M13",59,0.109133050847458,0.00161,0.21261074362394,0.11204,0,0.11204,0,0.78073
"BCR::ABL1","M14",59,0.0290161016949153,0.00252,0.0645080644789244,0.031965,0.00062,0.032585,0,0.42495
"BCR::ABL1","M21",59,0.544240338983051,0.74786,0.332808082098719,0.60168,0.216805,0.818485,0.00164,0.91334
"BCR::ABL1","M22",59,0.291676610169492,0.1567,0.261714967945916,0.34625,0.09035,0.4366,0.04592,0.92215
"BCR::ABL1","M23",59,0.122457118644068,0.03188,0.220516953848583,0.081465,0.00208,0.083545,0,0.77096
"BCR::ABL1","M24",59,0.0416364406779661,0.01401,0.0642187774334255,0.06749,0.00252,0.07001,0,0.39213
"BCR::ABL1","M31",59,0.51896220338983,0.66138,0.311106355326232,0.583575,0.204115,0.78769,0.00045,0.82812
"BCR::ABL1","M32",59,0.271235762711864,0.14971,0.23699378377708,0.299075,0.09601,0.395085,0.03038,0.80982
"BCR::ABL1","M33",59,0.152438983050847,0.05302,0.230352736184994,0.072105,0.04212,0.114225,0.02138,0.95791
"BCR::ABL1","M34",59,0.0573591525423729,0.04634,0.0569130746534644,0.03335,0.03313,0.06648,0,0.38763
"BCR::ABL1","M41",59,0.52720593220339,0.69281,0.306490363341327,0.601705,0.19225,0.793955,0.03046,0.83443
"BCR::ABL1","M42",59,0.268531525423729,0.16223,0.230918391651261,0.30031,0.094075,0.394385,0.00961,0.82015
"BCR::ABL1","M43",59,0.137292542372881,0.05205,0.20139453308672,0.07071,0.03645,0.10716,0.01517,0.76964
"BCR::ABL1","M44",59,0.0669635593220339,0.05312,0.0558508342098879,0.031565,0.04192,0.073485,0.01958,0.41951
"Negative","M11",80,0.178706625,0.06712,0.233145342080932,0.1081375,0.04473,0.1528675,0.02901,0.95629
"Negative","M12",80,0.396298375,0.33459,0.242701761732293,0.3641,0.1947425,0.5588425,0.00106,0.90258
"Negative","M13",80,0.359463875,0.364005,0.29096206134653,0.60801,0.04839,0.6564,0,0.84716
"Negative","M14",80,0.065506,0.04051,0.099166670679573,0.04324,0.013335,0.056575,0,0.59391
"Negative","M21",80,0.148950875,0.02296,0.238314620554658,0.1337175,0.0064725,0.14019,0,0.89076
"Negative","M22",80,0.42739225,0.347375,0.276981935795277,0.391605,0.21375,0.605355,0.0397,0.99806
"Negative","M23",80,0.37714275,0.38799,0.314278870878953,0.654935,0.0316375,0.6865725,0,0.89131
"Negative","M24",80,0.0465165,0.006395,0.0986804166905868,0.03747,0.001375,0.038845,0,0.53132
"Negative","M31",80,0.14641625,0.04417,0.220016628694777,0.1492525,0.0041175,0.15337,0,0.81363
"Negative","M32",80,0.392716625,0.34544,0.241917461993919,0.3828325,0.2019475,0.58478,0.03177,0.84823
"Negative","M33",80,0.40623425,0.39559,0.316939188831473,0.63712,0.0727525,0.7098725,0.02877,0.96622
"Negative","M34",80,0.054622875,0.01993,0.0996447745960016,0.049105,0.0023675,0.0514725,0,0.52492
"Negative","M41",80,0.167946125,0.06835,0.211751327462811,0.1250875,0.0456525,0.17074,0.02,0.7949
"Negative","M42",80,0.3856425,0.32845,0.228919760219574,0.36678,0.20282,0.5696,0.00111,0.82204
"Negative","M43",80,0.36769075,0.37092,0.278051710793837,0.5796775,0.073795,0.6534725,0,0.80823
"Negative","M44",80,0.07871975,0.049545,0.0919852608580667,0.0241,0.0406025,0.0647025,0.02452,0.58584
