"Group","Feature","n","mean","median","sd","IQR","q1","q3","min","max"
"BCR::ABL1_BM","M11",31,0.507439032258065,0.33056,0.411740345301541,0.888175,0.07817,0.966345,0.04033,1
"BCR::ABL1_BM","M12",31,0.296122903225806,0.2039,0.288966585648394,0.53566,0.029805,0.565465,0,0.87342
"BCR::ABL1_BM","M13",31,0.168628064516129,0.02221,0.24448059169621,0.240295,5e-06,0.2403,0,0.71758
"BCR::ABL1_BM","M14",31,0.0278009677419355,0.0058,0.0431052748013387,0.03978,0.000995,0.040775,0,0.20482
"BCR::ABL1_BM","M21",31,0.432378709677419,0.3278,0.360312646838288,0.767895,0.034425,0.80232,0.00164,0.90638
"BCR::ABL1_BM","M22",31,0.34180935483871,0.21238,0.290587507656879,0.520895,0.09816,0.619055,0.05105,0.92215
"BCR::ABL1_BM","M23",31,0.187446774193548,0.06529,0.256395552085537,0.245555,0.008875,0.25443,0,0.77096
"BCR::ABL1_BM","M24",31,0.0383751612903226,0.01494,0.0470519504994899,0.06698,0.00303,0.07001,0,0.19717
"BCR::ABL1_BM","M31",31,0.419691612903226,0.32755,0.344166970186437,0.706415,0.06953,0.775945,0.00045,0.82812
"BCR::ABL1_BM","M32",31,0.322606774193548,0.21916,0.26334427330508,0.4968,0.09878,0.59558,0.04755,0.80982
"BCR::ABL1_BM","M33",31,0.209675161290323,0.07813,0.261659495399026,0.206875,0.044975,0.25185,0.02138,0.85125
"BCR::ABL1_BM","M34",31,0.0480241935483871,0.0393,0.0424255828303469,0.05115,0.014425,0.065575,0,0.20348
"BCR::ABL1_BM","M41",31,0.426523870967742,0.32151,0.333910885174247,0.683535,0.078395,0.76193,0.03046,0.82639
"BCR::ABL1_BM","M42",31,0.316506129032258,0.19907,0.253813658138898,0.4604,0.09919,0.55959,0.05827,0.82015
"BCR::ABL1_BM","M43",31,0.193900967741935,0.07947,0.232125441652494,0.18686,0.0465,0.23336,0.01733,0.73421
"BCR::ABL1_BM","M44",31,0.063068064516129,0.05279,0.035468407954061,0.027275,0.042585,0.06986,0.0258,0.20265
"BCR::ABL1_PB","M11",28,0.733740714285714,0.84831,0.290028694645874,0.408795,0.544865,0.95366,0.04353,0.99739
"BCR::ABL1_PB","M12",28,0.192608571428571,0.097395,0.226336949385519,0.1918,0.0283825,0.2201825,0,0.69184
"BCR::ABL1_PB","M13",28,0.0432635714285714,0.00047,0.148754685085616,0.008885,0,0.008885,0,0.78073
"BCR::ABL1_PB","M14",28,0.0303614285714286,0.00127,0.0828913725446023,0.0230525,0.000345,0.0233975,0,0.42495
"BCR::ABL1_PB","M21",28,0.668087142857143,0.77543,0.251810188418845,0.31502,0.5243425,0.8393625,0.0242,0.91334
"BCR::ABL1_PB","M22",28,0.2361725,0.144095,0.217331390595015,0.16512,0.0880775,0.2531975,0.04592,0.76321
"BCR::ABL1_PB","M23",28,0.0505042857142857,0.00938,0.145596167593757,0.035945,0.000965,0.03691,0,0.76826
"BCR::ABL1_PB","M24",28,0.0452471428571429,0.012155,0.0798340044906672,0.064205,0.001875,0.06608,0,0.39213
"BCR::ABL1_PB","M31",28,0.628868928571429,0.742045,0.229040559635338,0.27595,0.513985,0.789935,0.00156,0.82711
"BCR::ABL1_PB","M32",28,0.214360714285714,0.13891,0.192905937564449,0.1715325,0.0868375,0.25837,0.03038,0.63848
"BCR::ABL1_PB","M33",28,0.0890703571428571,0.046865,0.173168273107342,0.0191325,0.041245,0.0603775,0.0247,0.95791
"BCR::ABL1_PB","M34",28,0.0676942857142857,0.05313,0.0689007823655291,0.0318,0.03921,0.07101,0.00468,0.38763
"BCR::ABL1_PB","M41",28,0.638675357142857,0.741965,0.2310409767966,0.26391,0.5378825,0.8017925,0.04164,0.83443
"BCR::ABL1_PB","M42",28,0.215416785714286,0.131575,0.193387833392126,0.1330525,0.092905,0.2259575,0.00961,0.67319
"BCR::ABL1_PB","M43",28,0.0746189285714286,0.044015,0.139665728035544,0.019615,0.0339675,0.0535825,0.01517,0.76964
"BCR::ABL1_PB","M44",28,0.0712764285714286,0.05348,0.072568952100707,0.0430025,0.0409375,0.08394,0.01958,0.41951
"Negative_BM","M11",64,0.14935703125,0.064995,0.203248245059135,0.06502,0.0438225,0.1088425,0.02901,0.95629
"Negative_BM","M12",64,0.412693125,0.360375,0.24882284064169,0.3963275,0.2122,0.6085275,0.00106,0.90258
"Negative_BM","M13",64,0.37755984375,0.383855,0.282174215017266,0.5635575,0.08043,0.6439875,1e-05,0.84716
"Negative_BM","M14",64,0.06037,0.03947,0.0889100113812248,0.034085,0.020975,0.05506,0,0.59391
"Negative_BM","M21",64,0.116151875,0.02229,0.205048395718925,0.0855925,0.0062875,0.09188,0,0.89076
"Negative_BM","M22",64,0.44919125,0.38161,0.28645633416376,0.4540975,0.221795,0.6758925,0.0397,0.99806
"Negative_BM","M23",64,0.39489078125,0.41605,0.306589208231702,0.613935,0.054375,0.66831,0.00041,0.89131
"Negative_BM","M24",64,0.039764375,0.00608,0.089608412389863,0.0277125,0.00081,0.0285225,0,0.53132
"Negative_BM","M31",64,0.118840625,0.039595,0.192270166584245,0.093855,0.0031225,0.0969775,0,0.81363
"Negative_BM","M32",64,0.4117953125,0.3632,0.247776805971985,0.41134,0.2099275,0.6212675,0.03177,0.84823
"Negative_BM","M33",64,0.42286234375,0.426695,0.308332380131048,0.61068,0.09333,0.70401,0.02971,0.96622
"Negative_BM","M34",64,0.046494375,0.01337,0.0874080019379106,0.046845,0.001665,0.04851,0,0.5235
"Negative_BM","M41",64,0.1414928125,0.065115,0.184690443762965,0.06667,0.046125,0.112795,0.02264,0.7949
"Negative_BM","M42",64,0.40225671875,0.34066,0.234590115328198,0.3916025,0.2103175,0.60192,0.00111,0.82204
"Negative_BM","M43",64,0.38346734375,0.403655,0.270932859715806,0.550305,0.0921,0.642405,0.00183,0.80823
"Negative_BM","M44",64,0.07278734375,0.04822,0.082405462510458,0.0233275,0.0400625,0.06339,0.02452,0.58584
"Negative_PB","M11",16,0.296105,0.115725,0.307247482072677,0.557355,0.0478125,0.6051675,0.03403,0.822
"Negative_PB","M12",16,0.330719375,0.286075,0.210856757427683,0.233205,0.1758125,0.4090175,0.0562,0.8415
"Negative_PB","M13",16,0.28708,0.158995,0.323219444856483,0.6788675,0.0009825,0.67985,0,0.7624
"Negative_PB","M14",16,0.08605,0.04112,0.134271555885824,0.071035,0.00265,0.073685,2e-05,0.50164
"Negative_PB","M21",16,0.280146875,0.132425,0.315556840515699,0.5941,0.0163175,0.6104175,0.00138,0.79172
"Negative_PB","M22",16,0.34019625,0.280615,0.221980780305413,0.1847075,0.20331,0.3880175,0.06509,0.85132
"Negative_PB","M23",16,0.306150625,0.17067,0.344511293041196,0.7183925,0.00087,0.7192625,0,0.8466
"Negative_PB","M24",16,0.073525,0.01854,0.128796974084539,0.05813,0.0029425,0.0610725,0.00087,0.46934
"Negative_PB","M31",16,0.25671875,0.107635,0.288891298677663,0.57162,0.00644,0.57806,0.00038,0.73459
"Negative_PB","M32",16,0.316401875,0.28184,0.20642044831585,0.1965525,0.1728525,0.369405,0.04274,0.76114
"Negative_PB","M33",16,0.339721875,0.165355,0.351925144999497,0.72892,0.0427725,0.7716925,0.02877,0.88732
"Negative_PB","M34",16,0.087136875,0.042425,0.137094662853507,0.0533325,0.0082825,0.061615,0.0017,0.52492
"Negative_PB","M41",16,0.273759375,0.120695,0.279208069522086,0.5212075,0.040585,0.5617925,0.02,0.72205
"Negative_PB","M42",16,0.319185625,0.264775,0.197409396769548,0.171055,0.1977225,0.3687775,0.03285,0.72939
"Negative_PB","M43",16,0.304584375,0.180515,0.305894159581791,0.6302375,0.040835,0.6710725,0,0.76092
"Negative_PB","M44",16,0.102449375,0.052675,0.123657664836906,0.027125,0.04588,0.073005,0.03512,0.5094
