"Feature","n","mean","median","sd","IQR","q1","q3","min","max","Group"
"M11",64,0.14935703125,0.064995,0.203248245059135,0.06502,0.0438225,0.1088425,0.02901,0.95629,"Negative_BM"
"M12",64,0.412693125,0.360375,0.24882284064169,0.3963275,0.2122,0.6085275,0.00106,0.90258,"Negative_BM"
"M13",64,0.37755984375,0.383855,0.282174215017266,0.5635575,0.08043,0.6439875,1e-05,0.84716,"Negative_BM"
"M14",64,0.06037,0.03947,0.0889100113812248,0.034085,0.020975,0.05506,0,0.59391,"Negative_BM"
"M21",64,0.116151875,0.02229,0.205048395718925,0.0855925,0.0062875,0.09188,0,0.89076,"Negative_BM"
"M22",64,0.44919125,0.38161,0.28645633416376,0.4540975,0.221795,0.6758925,0.0397,0.99806,"Negative_BM"
"M23",64,0.39489078125,0.41605,0.306589208231702,0.613935,0.054375,0.66831,0.00041,0.89131,"Negative_BM"
"M24",64,0.039764375,0.00608,0.089608412389863,0.0277125,0.00081,0.0285225,0,0.53132,"Negative_BM"
"M31",64,0.118840625,0.039595,0.192270166584245,0.093855,0.0031225,0.0969775,0,0.81363,"Negative_BM"
"M32",64,0.4117953125,0.3632,0.247776805971985,0.41134,0.2099275,0.6212675,0.03177,0.84823,"Negative_BM"
"M33",64,0.42286234375,0.426695,0.308332380131048,0.61068,0.09333,0.70401,0.02971,0.96622,"Negative_BM"
"M34",64,0.046494375,0.01337,0.0874080019379106,0.046845,0.001665,0.04851,0,0.5235,"Negative_BM"
"M41",64,0.1414928125,0.065115,0.184690443762965,0.06667,0.046125,0.112795,0.02264,0.7949,"Negative_BM"
"M42",64,0.40225671875,0.34066,0.234590115328198,0.3916025,0.2103175,0.60192,0.00111,0.82204,"Negative_BM"
"M43",64,0.38346734375,0.403655,0.270932859715806,0.550305,0.0921,0.642405,0.00183,0.80823,"Negative_BM"
"M44",64,0.07278734375,0.04822,0.082405462510458,0.0233275,0.0400625,0.06339,0.02452,0.58584,"Negative_BM"
