"Feature","n","mean","median","sd","IQR","q1","q3","min","max","Group"
"M11",80,0.178706625,0.06712,0.233145342080932,0.1081375,0.04473,0.1528675,0.02901,0.95629,"Negative"
"M12",80,0.396298375,0.33459,0.242701761732293,0.3641,0.1947425,0.5588425,0.00106,0.90258,"Negative"
"M13",80,0.359463875,0.364005,0.29096206134653,0.60801,0.04839,0.6564,0,0.84716,"Negative"
"M14",80,0.065506,0.04051,0.099166670679573,0.04324,0.013335,0.056575,0,0.59391,"Negative"
"M21",80,0.148950875,0.02296,0.238314620554658,0.1337175,0.0064725,0.14019,0,0.89076,"Negative"
"M22",80,0.42739225,0.347375,0.276981935795277,0.391605,0.21375,0.605355,0.0397,0.99806,"Negative"
"M23",80,0.37714275,0.38799,0.314278870878953,0.654935,0.0316375,0.6865725,0,0.89131,"Negative"
"M24",80,0.0465165,0.006395,0.0986804166905868,0.03747,0.001375,0.038845,0,0.53132,"Negative"
"M31",80,0.14641625,0.04417,0.220016628694777,0.1492525,0.0041175,0.15337,0,0.81363,"Negative"
"M32",80,0.392716625,0.34544,0.241917461993919,0.3828325,0.2019475,0.58478,0.03177,0.84823,"Negative"
"M33",80,0.40623425,0.39559,0.316939188831473,0.63712,0.0727525,0.7098725,0.02877,0.96622,"Negative"
"M34",80,0.054622875,0.01993,0.0996447745960016,0.049105,0.0023675,0.0514725,0,0.52492,"Negative"
"M41",80,0.167946125,0.06835,0.211751327462811,0.1250875,0.0456525,0.17074,0.02,0.7949,"Negative"
"M42",80,0.3856425,0.32845,0.228919760219574,0.36678,0.20282,0.5696,0.00111,0.82204,"Negative"
"M43",80,0.36769075,0.37092,0.278051710793837,0.5796775,0.073795,0.6534725,0,0.80823,"Negative"
"M44",80,0.07871975,0.049545,0.0919852608580667,0.0241,0.0406025,0.0647025,0.02452,0.58584,"Negative"
