"Feature","n","mean","median","sd","IQR","q1","q3","min","max","Group"
"M11",16,0.296105,0.115725,0.307247482072677,0.557355,0.0478125,0.6051675,0.03403,0.822,"Negative_PB"
"M12",16,0.330719375,0.286075,0.210856757427683,0.233205,0.1758125,0.4090175,0.0562,0.8415,"Negative_PB"
"M13",16,0.28708,0.158995,0.323219444856483,0.6788675,0.0009825,0.67985,0,0.7624,"Negative_PB"
"M14",16,0.08605,0.04112,0.134271555885824,0.071035,0.00265,0.073685,2e-05,0.50164,"Negative_PB"
"M21",16,0.280146875,0.132425,0.315556840515699,0.5941,0.0163175,0.6104175,0.00138,0.79172,"Negative_PB"
"M22",16,0.34019625,0.280615,0.221980780305413,0.1847075,0.20331,0.3880175,0.06509,0.85132,"Negative_PB"
"M23",16,0.306150625,0.17067,0.344511293041196,0.7183925,0.00087,0.7192625,0,0.8466,"Negative_PB"
"M24",16,0.073525,0.01854,0.128796974084539,0.05813,0.0029425,0.0610725,0.00087,0.46934,"Negative_PB"
"M31",16,0.25671875,0.107635,0.288891298677663,0.57162,0.00644,0.57806,0.00038,0.73459,"Negative_PB"
"M32",16,0.316401875,0.28184,0.20642044831585,0.1965525,0.1728525,0.369405,0.04274,0.76114,"Negative_PB"
"M33",16,0.339721875,0.165355,0.351925144999497,0.72892,0.0427725,0.7716925,0.02877,0.88732,"Negative_PB"
"M34",16,0.087136875,0.042425,0.137094662853507,0.0533325,0.0082825,0.061615,0.0017,0.52492,"Negative_PB"
"M41",16,0.273759375,0.120695,0.279208069522086,0.5212075,0.040585,0.5617925,0.02,0.72205,"Negative_PB"
"M42",16,0.319185625,0.264775,0.197409396769548,0.171055,0.1977225,0.3687775,0.03285,0.72939,"Negative_PB"
"M43",16,0.304584375,0.180515,0.305894159581791,0.6302375,0.040835,0.6710725,0,0.76092,"Negative_PB"
"M44",16,0.102449375,0.052675,0.123657664836906,0.027125,0.04588,0.073005,0.03512,0.5094,"Negative_PB"
