"Feature","n","mean","median","sd","IQR","q1","q3","min","max","Group"
"M11",59,0.270442372881356,0.07455,0.337855343062163,0.393505,0.046485,0.43999,0.02971,0.99217,"RL"
"M12",59,0.347641525423729,0.28148,0.253615075477981,0.35864,0.167915,0.526555,0.00106,0.8415,"RL"
"M13",59,0.320913728813559,0.27618,0.293460044180948,0.620795,0.00366,0.624455,0,0.84716,"RL"
"M14",59,0.0609861016949153,0.03504,0.0996785022652906,0.04403,0.01172,0.05575,0,0.59391,"RL"
"M21",59,0.225821694915254,0.02512,0.31269739364149,0.412515,0.00888,0.421395,0.00197,0.89076,"RL"
"M22",59,0.382857966101695,0.27708,0.276200646031478,0.38321,0.16633,0.54954,0.0397,0.9787,"RL"
"M23",59,0.342281016949153,0.295,0.314351879815877,0.636335,0.02503,0.661365,0.00046,0.89131,"RL"
"M24",59,0.0490247457627119,0.01037,0.0969258212697399,0.04473,0.00303,0.04776,0,0.53132,"RL"
"M31",59,0.220581694915254,0.04976,0.294211115270654,0.42781,0.00737,0.43518,0.00036,0.81363,"RL"
"M32",59,0.357992033898305,0.26707,0.246931718726115,0.39329,0.15571,0.549,0.03177,0.84823,"RL"
"M33",59,0.367019322033898,0.27663,0.314718606781844,0.61197,0.05697,0.66894,0.02829,0.96622,"RL"
"M34",59,0.0543991525423729,0.02823,0.0941358135756275,0.047845,0.004695,0.05254,0,0.5235,"RL"
"M41",59,0.239914915254237,0.07358,0.284226705783598,0.38735,0.047625,0.434975,0.02308,0.8226,"RL"
"M42",59,0.351343220338983,0.26547,0.231511879284402,0.33417,0.166565,0.500735,0.00111,0.80463,"RL"
"M43",59,0.330728644067797,0.27454,0.278405441437964,0.55304,0.04761,0.60065,0.00183,0.80823,"RL"
"M44",59,0.078011186440678,0.05115,0.0918916266510072,0.03152,0.04109,0.07261,0.02503,0.58584,"RL"
