"Feature","n","mean","median","sd","IQR","q1","q3","min","max","Group"
"M11",38,0.0521486842105263,0.050635,0.0122514403281328,0.0222825,0.040655,0.0629375,0.02971,0.07521,"RM"
"M12",38,0.357491052631579,0.324175,0.163570846040906,0.243855,0.2365575,0.4804125,0.08935,0.70785,"RM"
"M13",38,0.548546315789474,0.59522,0.162158056769465,0.2425025,0.4319825,0.674485,0.19535,0.77613,"RM"
"M14",38,0.0418068421052632,0.0424,0.0207296622709172,0.01848,0.0327975,0.0512775,3e-05,0.0894,"RM"
"M21",38,0.0184947368421053,0.016815,0.0155660814102142,0.019215,0.0058025,0.0250175,0,0.0545,"RM"
"M22",38,0.378493157894737,0.334125,0.182501447030254,0.271835,0.248775,0.52061,0.09313,0.80167,"RM"
"M23",38,0.585575789473684,0.627425,0.178734121784007,0.275005,0.456215,0.73122,0.18019,0.82704,"RM"
"M24",38,0.0174286842105263,0.009,0.0241868141619145,0.0201525,0.0024625,0.022615,0,0.09539,"RM"
"M31",38,0.0160542105263158,0.011495,0.0156326523542922,0.024495,0.0022975,0.0267925,0,0.04976,"RM"
"M32",38,0.368675,0.338305,0.181192994580737,0.273285,0.23553,0.508815,0.03707,0.76624,"RM"
"M33",38,0.604693157894737,0.638955,0.19438069988313,0.299065,0.4554,0.754465,0.21524,0.93998,"RM"
"M34",38,0.0105507894736842,0.00461,0.0143585195317508,0.013315,0.00088,0.014195,0,0.06363,"RM"
"M41",38,0.0484342105263158,0.047055,0.0136405178691377,0.014865,0.04216,0.057025,0.02308,0.07714,"RM"
"M42",38,0.35436552631579,0.326515,0.158688147766641,0.2323825,0.2371575,0.46954,0.09209,0.70432,"RM"
"M43",38,0.547587894736842,0.574785,0.160831788174291,0.2364375,0.4323725,0.66881,0.19124,0.77991,"RM"
"M44",38,0.0496115789473684,0.04659,0.015733832289707,0.01992,0.037375,0.057295,0.02604,0.0918,"RM"
