"Specimen","Feature","n","mean","median","sd","IQR","q1","q3","min","max"
"BM","M11",109,0.26945623853211,0.07594,0.332092548403551,0.31302,0.04713,0.36015,0.02901,1
"PB","M11",46,0.573765869565217,0.683255,0.360569358885367,0.7324475,0.16499,0.8974375,0.03403,0.99739
"BM","M12",109,0.370573486238532,0.3226,0.26135245844976,0.43074,0.1721,0.60284,0,0.90258
"PB","M12",46,0.251113695652174,0.17395,0.236314475781355,0.33733,0.0579525,0.3952825,0,0.8415
"BM","M13",109,0.312944036697248,0.26374,0.291571640361651,0.59584,0.01094,0.60678,0,0.84716
"PB","M13",46,0.126574565217391,0.0015,0.249394573742151,0.0866475,0.0001475,0.086795,0,0.78073
"BM","M14",109,0.0470104587155963,0.03399,0.0739166735736602,0.0476,0.00384,0.05144,0,0.59391
"PB","M14",46,0.0485115217391304,0.0035,0.104562118612545,0.04084,0.000685,0.041525,0,0.50164
"BM","M21",109,0.223974770642202,0.03738,0.305611793380027,0.35677,0.0079,0.36467,0,0.90638
"PB","M21",46,0.528439565217391,0.663485,0.330701918853127,0.6274675,0.1728,0.8002675,0.00138,0.91334
"BM","M22",109,0.408207431192661,0.32691,0.283566461781086,0.4624,0.17148,0.63388,0.0397,0.99806
"PB","M22",46,0.28095652173913,0.194015,0.22879556034171,0.2552625,0.11157,0.3668325,0.04592,0.85132
"BM","M23",109,0.331969174311927,0.27165,0.312296033116397,0.62365,0.02668,0.65033,0,0.89131
"PB","M23",46,0.137389782608696,0.009745,0.260575311122559,0.0551475,0.000925,0.0560725,0,0.8466
"BM","M24",109,0.0358442201834862,0.00743,0.0735815162641329,0.03696,0.00153,0.03849,0,0.53132
"PB","M24",46,0.0532302173913043,0.012155,0.0982524083389111,0.05547,0.00226,0.05773,0,0.46934
"BM","M31",109,0.219963577981651,0.06427,0.288985145749624,0.33508,0.00761,0.34269,0,0.82812
"PB","M31",46,0.494312173913043,0.597215,0.305941893436668,0.574535,0.18751,0.762045,0.00038,0.82711
"BM","M32",109,0.37789376146789,0.32074,0.248895301570869,0.41129,0.16913,0.58042,0.03177,0.84823
"PB","M32",46,0.25817347826087,0.172835,0.207365550157391,0.2517725,0.10294,0.3547125,0.03038,0.76114
"BM","M33",109,0.357953027522936,0.26253,0.313931627831262,0.58386,0.05965,0.64351,0.02138,0.96622
"PB","M33",46,0.174453043478261,0.050005,0.272468044910221,0.061295,0.04201,0.103305,0.0247,0.95791
"BM","M34",109,0.044184495412844,0.02847,0.0711687283267109,0.04727,0.00313,0.0504,0,0.5235
"PB","M34",46,0.0730497826086956,0.04863,0.096276834100401,0.0327675,0.03246,0.0652275,0.0017,0.52492
"BM","M41",109,0.237209357798165,0.07709,0.277274395601298,0.27853,0.04691,0.32544,0.02264,0.82639
"PB","M41",46,0.506203913043478,0.631845,0.302044906076183,0.57414,0.200375,0.774515,0.02,0.83443
"BM","M42",109,0.371202385321101,0.31825,0.237728947628499,0.40861,0.17898,0.58759,0.00111,0.82204
"PB","M42",46,0.259476086956522,0.194875,0.205201517716699,0.2557875,0.10517,0.3609575,0.00961,0.72939
"BM","M43",109,0.325016055045872,0.2587,0.276496529788746,0.54127,0.05449,0.59576,0.00183,0.80823
"PB","M43",46,0.153483695652174,0.047955,0.235306980510884,0.056125,0.03621,0.092335,0,0.76964
"BM","M44",109,0.0665755963302752,0.04761,0.0664520934016768,0.02923,0.03886,0.06809,0.02452,0.58584
"PB","M44",46,0.0808215217391304,0.05295,0.0924906478147299,0.0403225,0.041005,0.0813275,0.01958,0.5094
